Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
1884,Waste Management,Recycling Services Agreement #2883,Singapore,Titan Systems Pte Ltd,Internal - HR Dept.,-,30-มี.ค.-2024,06-เม.ย.-2024,06-ม.ค.-2028,Michael E.,-,Renewed,"$13,800"
1885,Manufacturing Supply,Component Manufacturing Contract #2884,China,"Anchor Partners Co., Ltd.","Unity Services Co., Ltd.",Renewal contingent on performance KPIs,01-ก.ค.-2023,01-ก.ค.-2023,08-ก.พ.-2027,Yuki O.,Legal review in progress before renewal,Negotiation in progress,"$1,930,200"
1886,IT Services,Managed IT Services Agreement #2885,France,Global Systems SAS,Internal - Finance Dept.,-,04-ส.ค.-2024,18-ส.ค.-2024,05-มิ.ย.-2026,Siti B.,Vendor performance review scheduled,Expired/Not renewed,"$1,323,800"
1887,Waste Management,Waste Collection & Disposal Contract #2886,India,NorthStar Ventures Pvt. Ltd.,Internal - Corporate Affairs,"Auto-renew clause, 15 days notice required",03-พ.ค.-2024,03-พ.ค.-2024,15-มิ.ย.-2027,Emily M.,Budget approval pending for renewal,Renewed,"$44,700"
1888,Consulting,Change Management Engagement #2887,United Arab Emirates,Meridian Capital LLC,Apex Services LLC,Includes 24/7 support SLA with penalty clauses,21-พ.ค.-2026,28-พ.ค.-2026,27-ต.ค.-2027,Grace S.,Budget approval pending for renewal,Renewed,"$478,500"
1889,Marketing,Brand Campaign Agreement #2888,Indonesia,Beacon Capital PT,Internal - Marketing Dept.,Includes quarterly business review meetings,07-ธ.ค.-2025,07-ธ.ค.-2025,07-เม.ย.-2028,Hiroshi E.,Alternative vendors being benchmarked,Renewed,"$611,600"
1890,IT Services,Data Center Colocation Contract #2889,Vietnam,Pinnacle Consulting JSC,Onyx Systems JSC,Exclusive regional distribution rights included,12-ธ.ค.-2023,12-ธ.ค.-2023,03-ส.ค.-2027,Nattapong R.,"Renewal quote received, under internal review",Renewed,"$1,755,000"
1891,Financial Services,Corporate Banking Services Agreement #2890,Philippines,Apex Innovations Inc.,Internal - Marketing Dept.,-,09-ก.ค.-2024,16-ก.ค.-2024,19-ต.ค.-2026,Tanawat J.,Relationship manager reassigned this quarter,Upcoming renewal,"$975,800"
1892,Real Estate & Leasing,Retail Unit Lease Contract #2891,United Kingdom,Anchor Partners Ltd.,Internal - Operations,-,04-เม.ย.-2025,04-เม.ย.-2025,08-ต.ค.-2026,Anucha B.,-,Negotiation in progress,"$4,635,500"
1893,Travel & Events,Corporate Travel Management Agreement #2892,Singapore,Pacific Innovations Pte Ltd,Internal - Supply Chain,Service level agreement reviewed annually,17-พ.ย.-2023,17-พ.ย.-2023,29-ต.ค.-2026,Aiko A.,No issues reported this cycle,Negotiation in progress,"$230,500"
1894,Security,Executive Protection Services #2893,Singapore,Horizon Solutions Pte Ltd,Evergreen Innovations Pte Ltd,Exclusive regional distribution rights included,11-เม.ย.-2026,11-เม.ย.-2026,22-ก.พ.-2029,Tanawat I.,No issues reported this cycle,Renewed,"$436,100"
1895,Training & Development,Leadership Development Engagement #2894,India,Unity Holdings Pvt. Ltd.,Internal - HR Dept.,"Multi-year framework agreement, reviewed yearly",26-มิ.ย.-2023,26-มิ.ย.-2023,01-ต.ค.-2026,Hiroshi F.,Legal review in progress before renewal,Upcoming renewal,"$42,800"
1896,Logistics,Warehouse Lease & Operation Agreement #2895,United States,Horizon Enterprises Inc.,Internal - Corporate Affairs,Exclusive regional distribution rights included,13-ม.ค.-2022,20-ม.ค.-2022,24-ก.ค.-2025,Ravi N.,Flagged for cost optimization review,Expired/Not renewed,"$983,800"
1897,Construction & Maintenance,Building Renovation Contract #2896,Australia,Emerald Consulting Pty Ltd,Beacon Technologies Pty Ltd,Includes quarterly business review meetings,24-ม.ค.-2023,07-ก.พ.-2023,30-ธ.ค.-2026,Yuki R.,No issues reported this cycle,Negotiation in progress,"$180,700"
1898,Logistics,Customs Brokerage Agreement #2897,Hong Kong,Summit Enterprises Ltd.,Bright Capital Ltd.,Pricing subject to annual CPI adjustment,18-ก.พ.-2026,25-ก.พ.-2026,22-ก.พ.-2029,Wei J.,No issues reported this cycle,Renewed,"$497,100"
1899,Real Estate & Leasing,Retail Unit Lease Contract #2898,Cambodia,"Onyx Networks Co., Ltd.",Internal - Operations,Volume discount tier applies above threshold spend,07-เม.ย.-2025,07-เม.ย.-2025,16-พ.ย.-2026,Sarah K.,Flagged for cost optimization review,Upcoming renewal,"$4,511,700"
1900,Financial Services,Payment Gateway Services Agreement #2899,Vietnam,Lumen Systems JSC,Internal - HR Dept.,"Multi-year framework agreement, reviewed yearly",16-ก.ค.-2023,16-ก.ค.-2023,05-พ.ย.-2026,David F.,Relationship manager reassigned this quarter,Upcoming renewal,"$515,100"
1901,Consulting,Strategy Advisory Retainer #2900,China,"Lumen Solutions Co., Ltd.","Apex Partners Co., Ltd.",Pricing subject to annual CPI adjustment,28-ก.พ.-2023,28-ก.พ.-2023,08-ธ.ค.-2026,Daniel I.,Flagged for cost optimization review,Upcoming renewal,"$50,000"
1902,Security,Access Control System Contract #2901,Cambodia,"Ivory Innovations Co., Ltd.","Onyx Group Co., Ltd.",Includes quarterly business review meetings,13-ก.ย.-2026,27-ก.ย.-2026,03-มี.ค.-2029,Wanida J.,Legal review in progress before renewal,Renewed,"$368,500"
1903,Software Licensing,Enterprise Software License (ERP) #2902,Thailand,"Titan Holdings Co., Ltd.",Internal - Finance Dept.,Exclusive regional distribution rights included,05-ก.พ.-2021,05-ก.พ.-2021,03-ต.ค.-2024,Tanawat S.,Relationship manager reassigned this quarter,Expired/Not renewed,"$264,800"
1904,Security,Access Control System Contract #2903,United Arab Emirates,Bright Logistics LLC,Falcon Partners LLC,Renewal contingent on performance KPIs,17-พ.ย.-2020,01-ธ.ค.-2020,25-เม.ย.-2024,Chloe O.,Relationship manager reassigned this quarter,Expired/Not renewed,"$460,900"
1905,Fleet & Transportation,Corporate Shuttle Service Contract #2904,Taiwan,"Ivory Dynamics Co., Ltd.","Bright Technologies Co., Ltd.","Auto-renew clause, 15 days notice required",21-พ.ค.-2024,21-พ.ค.-2024,14-ม.ค.-2027,Laura R.,No issues reported this cycle,Negotiation in progress,"$227,300"
1906,Cleaning & Facility,Pest Control Services Agreement #2905,Cambodia,"Silverline Networks Co., Ltd.","Global Services Co., Ltd.","Multi-year framework agreement, reviewed yearly",06-ส.ค.-2024,06-ส.ค.-2024,07-ต.ค.-2026,Aiko O.,No issues reported this cycle,Negotiation in progress,"$138,100"
1907,IT Services,Network Infrastructure Services #2906,Malaysia,NorthStar Systems Sdn Bhd,Ivory Technologies Sdn Bhd,Volume discount tier applies above threshold spend,08-ก.ย.-2023,08-ก.ย.-2023,19-ธ.ค.-2026,Tanawat W.,Alternative vendors being benchmarked,Negotiation in progress,"$2,309,100"
1908,Waste Management,Recycling Services Agreement #2907,United Kingdom,Vertex Partners Ltd.,Metro Logistics Ltd.,"Multi-year framework agreement, reviewed yearly",29-ธ.ค.-2022,29-ธ.ค.-2022,24-พ.ย.-2026,Nattapong N.,Alternative vendors being benchmarked,Negotiation in progress,"$261,300"
1909,Logistics,Warehouse Lease & Operation Agreement #2908,Indonesia,Vertex Dynamics PT,Internal - Operations,Exclusive regional distribution rights included,09-ม.ค.-2025,16-ม.ค.-2025,11-ม.ค.-2027,Sarah B.,Legal review in progress before renewal,Negotiation in progress,"$168,000"
1910,Insurance,Group Health Insurance Policy #2909,France,Falcon Networks SAS,Internal - Marketing Dept.,Renewal contingent on performance KPIs,09-ธ.ค.-2022,23-ธ.ค.-2022,24-ก.ย.-2026,James C.,Flagged for cost optimization review,Negotiation in progress,"$1,275,700"
1911,Logistics,Last-Mile Delivery Partnership #2910,United Kingdom,Zenith Consulting Ltd.,Internal - Operations,Includes quarterly business review meetings,26-พ.ย.-2024,03-ธ.ค.-2024,27-พ.ย.-2027,Laura R.,Flagged for cost optimization review,Renewed,"$620,700"
1912,IT Services,Cloud Hosting Agreement #2911,Philippines,Onyx Capital Inc.,Internal - Legal Dept.,Pricing subject to annual CPI adjustment,10-พ.ย.-2024,24-พ.ย.-2024,28-เม.ย.-2028,Wei R.,Legal review in progress before renewal,Renewed,"$180,400"
1913,Software Licensing,CRM Platform Subscription Agreement #2912,Cambodia,"Solace Capital Co., Ltd.","Evergreen Capital Co., Ltd.","Multi-year framework agreement, reviewed yearly",20-พ.ย.-2023,20-พ.ย.-2023,30-ก.ย.-2025,Arjun O.,No issues reported this cycle,Expired/Not renewed,"$746,600"
1914,Waste Management,Hazardous Waste Management Contract #2913,Taiwan,"Beacon Consulting Co., Ltd.","BlueSky Enterprises Co., Ltd.",Includes quarterly business review meetings,06-พ.ย.-2023,20-พ.ย.-2023,09-ม.ค.-2027,Wei A.,Relationship manager reassigned this quarter,Negotiation in progress,"$136,600"
1915,Travel & Events,Conference Venue Agreement #2914,Taiwan,"Atlas Partners Co., Ltd.",Internal - E-commerce,"Multi-year framework agreement, reviewed yearly",15-ก.พ.-2025,22-ก.พ.-2025,26-ก.ย.-2028,Laura F.,-,Renewed,"$392,800"
1916,Printing & Publishing,Signage & Print Production Agreement #2915,United Arab Emirates,Anchor Industries LLC,Anchor Consulting LLC,Pricing subject to annual CPI adjustment,19-ส.ค.-2024,19-ส.ค.-2024,28-พ.ย.-2026,Somchai N.,Relationship manager reassigned this quarter,Upcoming renewal,"$56,900"
1917,HR & Payroll,Recruitment Services Agreement #2916,Australia,Delta Holdings Pty Ltd,Internal - IT Security,Pricing subject to annual CPI adjustment,17-ม.ค.-2026,17-ม.ค.-2026,11-พ.ค.-2027,Ravi P.,Budget approval pending for renewal,Renewed,"$142,300"
1918,Fleet & Transportation,Fleet Maintenance Agreement #2917,United Arab Emirates,Silverline Logistics LLC,Beacon Industries LLC,Includes quarterly business review meetings,21-พ.ค.-2027,21-พ.ค.-2027,05-ก.ค.-2028,James F.,Vendor performance review scheduled,Renewed,"$644,100"
1919,Construction & Maintenance,Civil Works Contract #2918,Australia,Bright Technologies Pty Ltd,Ivory Industries Pty Ltd,Renewal contingent on performance KPIs,12-มิ.ย.-2023,19-มิ.ย.-2023,17-ต.ค.-2026,Siti B.,Budget approval pending for renewal,Negotiation in progress,"$1,942,900"
1920,Fleet & Transportation,Fleet Maintenance Agreement #2919,Germany,Titan Ventures GmbH,Beacon Industries GmbH,Includes quarterly business review meetings,24-ม.ค.-2024,24-ม.ค.-2024,23-ก.ย.-2026,Grace K.,Relationship manager reassigned this quarter,Negotiation in progress,"$473,100"
1921,HR & Payroll,Recruitment Services Agreement #2920,Japan,Evergreen Holdings K.K.,Internal - Marketing Dept.,Includes 24/7 support SLA with penalty clauses,24-มี.ค.-2024,31-มี.ค.-2024,29-มี.ค.-2028,Arjun S.,-,Renewed,"$368,400"
1922,Manufacturing Supply,Component Manufacturing Contract #2921,Philippines,Metro Systems Inc.,Radiant Systems Inc.,"Multi-year framework agreement, reviewed yearly",10-ก.ย.-2025,24-ก.ย.-2025,12-พ.ย.-2026,Daniel I.,"Renewal quote received, under internal review",Upcoming renewal,"$2,419,100"
1923,Cleaning & Facility,Office Facility Management Contract #2922,Singapore,Crown Industries Pte Ltd,Internal - IT Dept.,Pricing subject to annual CPI adjustment,19-มิ.ย.-2026,03-ก.ค.-2026,22-เม.ย.-2028,Sarah R.,Flagged for cost optimization review,Renewed,"$86,100"
1924,Real Estate & Leasing,Office Space Lease Agreement #2923,Singapore,Sterling Consulting Pte Ltd,Internal - IT Security,"Multi-year framework agreement, reviewed yearly",12-ก.ค.-2022,12-ก.ค.-2022,02-ก.พ.-2026,Budi L.,Alternative vendors being benchmarked,Expired/Not renewed,"$4,196,600"
1925,Training & Development,E-Learning Platform License #2924,Thailand,"Vertex Dynamics Co., Ltd.",Internal - E-commerce,-,10-มี.ค.-2022,24-มี.ค.-2022,23-ส.ค.-2025,Wanida K.,Budget approval pending for renewal,Expired/Not renewed,"$116,700"
1926,Travel & Events,Event Management Services Contract #2925,Australia,Pinnacle Services Pty Ltd,Internal - Supply Chain,Volume discount tier applies above threshold spend,21-ก.ย.-2023,21-ก.ย.-2023,21-พ.ย.-2026,Nattapong K.,"Renewal quote received, under internal review",Negotiation in progress,"$229,600"
1927,Insurance,Cargo Insurance Agreement #2926,Hong Kong,Orion Technologies Ltd.,Onyx Industries Ltd.,"Auto-renew clause, 60 days notice required",24-พ.ย.-2023,24-พ.ย.-2023,14-ธ.ค.-2026,Wei K.,Flagged for cost optimization review,Upcoming renewal,"$1,219,200"
1928,Printing & Publishing,Signage & Print Production Agreement #2927,Philippines,Meridian Ventures Inc.,Pacific Consulting Inc.,Pricing subject to annual CPI adjustment,25-มี.ค.-2023,25-มี.ค.-2023,25-ธ.ค.-2026,Aiko C.,-,Negotiation in progress,"$143,600"
1929,Consulting,Digital Transformation Consulting #2928,Singapore,Vertex Innovations Pte Ltd,Internal - Corporate Affairs,"Multi-year framework agreement, reviewed yearly",14-ก.พ.-2025,14-ก.พ.-2025,30-พ.ย.-2026,Siti G.,Scope extension being discussed with partner,Upcoming renewal,"$1,143,200"
1930,Security,Access Control System Contract #2929,Vietnam,BlueSky Technologies JSC,Titan Solutions JSC,Volume discount tier applies above threshold spend,01-พ.ค.-2024,01-พ.ค.-2024,26-ก.ย.-2026,Carlos N.,-,Negotiation in progress,"$100,400"
1931,Financial Services,Corporate Banking Services Agreement #2930,Philippines,Falcon Innovations Inc.,Internal - Corporate Affairs,"Multi-year framework agreement, reviewed yearly",30-พ.ย.-2022,30-พ.ย.-2022,30-เม.ย.-2025,Nattapong J.,Budget approval pending for renewal,Expired/Not renewed,"$162,200"
1932,Insurance,Group Health Insurance Policy #2931,Germany,Global Consulting GmbH,Internal - Corporate Affairs,Pricing subject to annual CPI adjustment,15-เม.ย.-2022,15-เม.ย.-2022,04-ส.ค.-2024,Budi G.,"Renewal quote received, under internal review",Expired/Not renewed,"$1,207,500"
1933,Consulting,Change Management Engagement #2932,Japan,Solace Networks K.K.,Beacon Networks K.K.,Service level agreement reviewed annually,08-พ.ค.-2026,08-พ.ค.-2026,26-ม.ค.-2028,Anucha F.,Vendor performance review scheduled,Renewed,"$930,900"
1934,Real Estate & Leasing,Office Space Lease Agreement #2933,Vietnam,Silverline Capital JSC,Internal - Admin Dept.,-,02-ธ.ค.-2026,02-ธ.ค.-2026,10-ก.พ.-2028,Anucha J.,Flagged for cost optimization review,Renewed,"$3,109,400"
1935,Waste Management,Waste Collection & Disposal Contract #2934,Hong Kong,Meridian Ventures Ltd.,Nova Trading Ltd.,"Multi-year framework agreement, reviewed yearly",16-ก.พ.-2025,02-มี.ค.-2025,14-พ.ค.-2026,Carlos D.,Budget approval pending for renewal,Expired/Not renewed,"$54,700"
1936,Software Licensing,CRM Platform Subscription Agreement #2935,Taiwan,"Silverline Group Co., Ltd.",Internal - Legal Dept.,"Multi-year framework agreement, reviewed yearly",10-ก.ย.-2026,17-ก.ย.-2026,05-ก.พ.-2028,Chloe M.,No issues reported this cycle,Renewed,"$278,100"
1937,Marketing,Digital Marketing Retainer #2936,Myanmar,"Alliance Capital Co., Ltd.","Crest Technologies Co., Ltd.","Multi-year framework agreement, reviewed yearly",26-พ.ย.-2024,26-พ.ย.-2024,17-ต.ค.-2026,Michael A.,Legal review in progress before renewal,Upcoming renewal,"$691,800"
1938,Fleet & Transportation,Fleet Maintenance Agreement #2937,United States,Delta Solutions Inc.,Meridian Systems Inc.,Service level agreement reviewed annually,11-ก.ค.-2023,11-ก.ค.-2023,25-ม.ค.-2027,Tanawat M.,Relationship manager reassigned this quarter,Negotiation in progress,"$681,000"
1939,Cleaning & Facility,Pest Control Services Agreement #2938,South Korea,"Meridian Ventures Co., Ltd.","Silverline Group Co., Ltd.","Auto-renew clause, 45 days notice required",26-มี.ค.-2025,26-มี.ค.-2025,20-ม.ค.-2029,Nattapong G.,Relationship manager reassigned this quarter,Renewed,"$41,600"
1940,IT Services,Managed IT Services Agreement #2939,Japan,Pinnacle Ventures K.K.,Silverline Logistics K.K.,Exclusive regional distribution rights included,01-เม.ย.-2024,08-เม.ย.-2024,04-พ.ย.-2026,Grace O.,No issues reported this cycle,Upcoming renewal,"$2,291,900"
1941,HR & Payroll,HR Systems Implementation Contract #2940,Indonesia,Metro Enterprises PT,Summit Solutions PT,Volume discount tier applies above threshold spend,04-ก.พ.-2026,18-ก.พ.-2026,13-เม.ย.-2027,Kanokwan K.,-,Renewed,"$205,800"
1942,Waste Management,Waste Collection & Disposal Contract #2941,Germany,Quantum Industries GmbH,Internal - Operations,Renewal contingent on performance KPIs,06-พ.ค.-2023,06-พ.ค.-2023,04-ก.พ.-2027,Nattapong M.,Flagged for cost optimization review,Negotiation in progress,"$92,700"
1943,Consulting,Business Process Improvement Engagement #2942,Myanmar,"BlueSky Industries Co., Ltd.",Internal - Corporate Affairs,Pricing subject to annual CPI adjustment,16-ม.ค.-2025,16-ม.ค.-2025,01-พ.ย.-2026,Ploy F.,Budget approval pending for renewal,Upcoming renewal,"$678,500"
1944,Construction & Maintenance,HVAC Maintenance Agreement #2943,Malaysia,Silverline Group Sdn Bhd,Zenith Solutions Sdn Bhd,Renewal contingent on performance KPIs,25-ก.พ.-2022,04-มี.ค.-2022,27-มิ.ย.-2024,Priya R.,Flagged for cost optimization review,Expired/Not renewed,"$1,003,800"
